InvoiceNumber,Date,CarVIN,CustomerID,StaffID,Amount,Name_x,PhoneNumber,Email,Address,City,State/Province,Country,Zip/Postal Code,Name_y,Store,Manufacturer,Model,Year,Color
15,09/11/2024,8HAJU7GZX2M7S7GDX,56,82,35676.94,Jordan Castro,909.202.1254,leslierandall@example.com,910 Danny Garden Apt. 604,West Mark,Missouri,China,67126,Hannah Hughes,Store B,Nissan,ago,2015,Red
16,24/09/2024,UWXD1DN53MPSHL4LS,22,103,40735.64,Clarence Wright,+1-828-269-0050x337,juliemoore@example.org,44596 Hill Union Apt. 962,Cooperport,Idaho,Sao Tome and Principe,6495,Marcus Schmidt,Store B,Toyota,director,2022,White
17,13/10/2024,CH38EL0NXKXWA3T4T,120,17,33007.25,Joshua Yu,278-218-9050x079,chull@example.net,961 Johnson Terrace,Brandonberg,Pennsylvania,Latvia,46056,Jessica Bell,Store D,Honda,present,2021,Blue
18,06/08/2024,8HAJU7GZX2M7S7GDX,118,114,27557.78,Frances Oconnor,292-867-6420x6294,fpineda@example.net,164 Stevenson Shore,Michaelmouth,West Virginia,Christmas Island,54117,Stephanie Watkins,Store B,Nissan,ago,2015,Red
19,19/11/2024,0L956MAT5336MEKGZ,24,147,39727.08,Angela Mckee,001-541-508-5674x17458,jerry98@example.org,27329 Garrett Trace Suite 140,South Kristychester,New York,Gabon,98140,Roger Lee,Store C,Ford,team,2015,Black
20,10/03/2024,0YGXM2LE0S6EXU420,121,39,26376.92,Christopher Burns,8579013191,sean89@example.org,505 White Forge Apt. 684,Lake Caitlinton,Indiana,Montserrat,15250,Gary Ross,Store D,Ford,relate,2020,White
21,27/07/2024,6485SEYP7U5TWF9C7,65,156,22590.86,Mathew Simmons,(314)983-9950,patriciabutler@example.com,8063 Robinson Spurs Suite 156,Charlesport,South Carolina,Luxembourg,74688,Jeffery Nelson,Store B,Honda,pretty,2022,Red
22,12/05/2024,M84KK5RN5VFZKF829,113,95,27059.3,Matthew Brown,644-945-2907x38046,potterbrian@example.com,001 Willis Oval Suite 961,Port Heidi,Wisconsin,Trinidad and Tobago,3317,Brianna Wolfe,Store A,Ford,including,2015,Green
23,04/03/2024,HGL4A21A7XA2PD9TY,30,12,32072.88,Terri Dean,(829)481-8326x984,mkramer@example.net,64177 Mitchell Tunnel,Scottview,Virginia,American Samoa,44580,Steven Guerrero,Store D,Chevrolet,trial,2018,Red
24,29/04/2024,YE1A4WSZ0YJZWYWP2,107,85,41170.44,Julia Camacho,891-325-6050x296,amy76@example.com,83889 Nancy Heights,Allenton,Arizona,Trinidad and Tobago,24710,April Campbell,Store B,Toyota,bank,2015,White
25,22/01/2024,R9TYSEMB9H36ZV649,70,99,41367.43,Aaron Nelson,844.585.8789,piercestephen@example.com,46974 Elizabeth Lodge Suite 544,North Catherine,Iowa,Nauru,56736,Matthew Lee,Store B,Chevrolet,performance,2020,Blue
26,20/02/2024,5MAFXMGH6Y1BMDSM3,112,98,49912.21,Travis Davis,001-366-496-2498,scott73@example.com,79607 Soto Ridges,Loweport,Indiana,Gambia,31242,Scott Scott,Store B,Toyota,than,2019,White
27,29/04/2024,24KYNBKS8VYDLHGL2,4,14,41612.05,Anna Escobar,457-455-3405x410,rfletcher@example.com,7242 Herman Cliffs Apt. 513,Port Mirandaside,South Dakota,Vietnam,38268,Anne Lawrence,Store D,Honda,early,2018,Black
28,07/12/2024,0CEJ15NB5TE4BXDAP,97,136,30680.41,Darrell Mcgrath,-3137,hernandezmelissa@example.com,2370 Simmons Port Suite 107,New Donald,Tennessee,Austria,72427,Angela Mendoza,Store C,Toyota,for,2020,Black
29,02/11/2024,R9TYSEMB9H36ZV649,83,140,21062.65,Donna Watkins,001-961-990-3604x589,mandy61@example.net,79593 Rebecca Locks Apt. 740,Valdezbury,Tennessee,New Zealand,50270,Courtney Schneider,Store B,Chevrolet,performance,2020,Blue
30,30/05/2024,0YGXM2LE0S6EXU420,114,85,42573.02,Cynthia Davidson,5316766491,bethmorton@example.org,02283 Lisa Avenue,Kelseystad,Kansas,Dominica,26590,April Campbell,Store B,Ford,relate,2020,White
31,08/02/2024,VJFG36Z29N49FA0NW,23,117,48742.48,Edward Guerrero,283.712.6590x71449,brianmorgan@example.net,15014 Jennifer Locks Suite 980,New Christopherhaven,New Mexico,Senegal,22651,Steven Meyer,Store D,Ford,should,2015,Blue
32,22/03/2024,5NYE1AD5901HX6S6U,3,31,35840.24,Jonathon Williams,-4650,nelsondebra@example.com,641 Young Stravenue,Hayesville,Missouri,Martinique,59812,Kyle Jones Jr.,Store C,Ford,middle,2017,White
33,22/10/2024,8JFVK6NGXD6EGEBXM,18,103,20283.43,James Payne,001-594-547-1697x06469,smiller@example.com,93521 Lozano Summit,Aaronmouth,Montana,Lebanon,20406,Marcus Schmidt,Store B,Nissan,information,2019,Green
34,02/09/2024,HGL4A21A7XA2PD9TY,30,129,16661.71,Terri Dean,(829)481-8326x984,mkramer@example.net,64177 Mitchell Tunnel,Scottview,Virginia,American Samoa,44580,Paula Sherman,Store A,Chevrolet,trial,2018,Red
35,06/12/2024,PU7YP6NE20VDE6W1S,5,132,38471.45,Corey Campbell,(436)413-9387x8485,wendy96@example.org,6829 Kyle Flat,South Michaelport,Kansas,Tonga,79742,Gregory Cannon,Store B,Nissan,realize,2018,Green
36,04/12/2024,N4GB39682276KS1G3,86,22,25875.04,John Griffin,-9245,deangutierrez@example.net,051 Patterson Plaza,New Briannaton,Rhode Island,Kenya,54927,Catherine Lopez,Store D,Nissan,wife,2019,Red
37,15/11/2024,4YUWDY9F5FSDA5CAU,122,158,23365.7,Frank Henderson,842-230-1406x31387,jonesvincent@example.org,26552 Emma Grove,New Robynshire,Nevada,Belgium,1594,Darryl Hernandez,Store D,Honda,enjoy,2019,White
38,23/03/2024,5DBNKHVS5PL3FL819,96,33,35236.83,Chad Campos,+1-563-328-7326x47173,weavermichael@example.org,37757 Evan Coves Apt. 269,Anthonyview,Wisconsin,New Zealand,39863,Abigail Lee,Store A,Honda,staff,2016,Green
39,25/07/2024,STT2SRBU72ULNJ7GH,153,50,47126.41,Matthew Cox,692.526.6470,zclements@example.net,572 Cobb Corners Apt. 074,Lake Kimberly,Maine,Gambia,35030,Victoria Wiggins,Store C,Nissan,memory,2018,Blue
40,17/07/2024,MH4EUYBJ1Z8DG2PEK,55,84,32644.65,Aaron Ali,+1-890-523-5427x1886,kparrish@example.com,02630 Kristin Drive,Jordanchester,Nebraska,Russian Federation,20135,Robert Weiss,Store A,Chevrolet,go,2018,Red
41,05/08/2024,22X7JHUR7A1SU3CU5,53,106,46425.72,Kevin Wiley,748-342-4368,jshaw@example.org,5394 Gabrielle Forest,North Francesstad,South Carolina,Bahamas,75880,Caitlin Hicks,Store D,Toyota,check,2023,Red
42,14/09/2024,U7T7W5CN4ZLP2R4WP,129,41,28942.4,Peter Carter,(605)688-6276,tevans@example.com,2953 Walker Oval,Russellmouth,Utah,Western Sahara,46335,Cynthia Nixon,Store D,Toyota,lay,2018,Red
43,03/10/2024,NNPMH1DP613RKNVLF,104,90,27470.08,Thomas Fox,(566)208-0788x2451,elizabeththomas@example.com,2621 Mack Stravenue,Mariafort,Georgia,Liberia,5861,Andrea Drake,Store D,Ford,decade,2016,Red
44,29/01/2024,GBZAP0W79KDLC3XHV,121,66,24562.53,Christopher Burns,8579013191,sean89@example.org,505 White Forge Apt. 684,Lake Caitlinton,Indiana,Montserrat,15250,Maria Mcfarland,Store D,Chevrolet,country,2019,Green
45,20/10/2024,P8L70UZ4XJ1LDFRHD,37,50,29501.16,Christopher Campos,856-465-7887,andersoncaitlin@example.org,4408 Chase Cape Suite 359,Johnstad,Utah,Palau,10026,Victoria Wiggins,Store C,Ford,enjoy,2022,White
46,07/12/2024,TDYW67Z82JG7X15EL,154,100,41813.88,Victoria James,298-277-5923x371,floydshelby@example.org,722 Eric Place,New Sean,Missouri,Hong Kong,20398,John Wilson,Store A,Honda,cut,2016,Green
47,18/11/2024,6485SEYP7U5TWF9C7,57,133,29048.96,Janet Suarez,001-224-278-7037x73875,alanperez@example.com,740 Fields Ramp,Crystalfort,Colorado,Lithuania,99084,Nancy Obrien,Store A,Honda,pretty,2022,Red
48,17/06/2024,Y32N5DXC40PNY6XSE,44,88,17371.47,Traci Carter,558-731-3855x518,pescobar@example.com,56608 Donna Camp Suite 032,Robertview,New Mexico,Swaziland,34429,Teresa Hall,Store C,Nissan,I,2020,Green
49,25/07/2024,PU7YP6NE20VDE6W1S,71,120,45132.93,Kristin Brown,001-233-913-2311x3397,sullivankevin@example.com,9774 Ronald Circles,Summershaven,Illinois,Saint Helena,3354,Victoria Turner,Store A,Nissan,realize,2018,Green
50,26/08/2024,1A9DML9R6RDSJT3NH,63,85,21959.87,Travis Johnson,6694728834,jacobsjames@example.org,0595 Brianna Courts,West Amandamouth,Kansas,Germany,67468,April Campbell,Store B,Ford,stock,2019,Green
51,17/02/2024,B1NZ1MT20B9JKD0F5,51,56,19765.91,Sara Adams,706.484.9321,elizabeth99@example.net,7208 Fischer Street,East Nicole,Alaska,Micronesia,62624,Brian Fischer,Store D,Nissan,tell,2018,Red
52,03/12/2024,5DJN2Z759YJLCL0YY,70,70,15534.36,Aaron Nelson,844.585.8789,piercestephen@example.com,46974 Elizabeth Lodge Suite 544,North Catherine,Iowa,Nauru,56736,Julie Love,Store C,Toyota,ten,2017,Blue
53,08/11/2024,1WE2K9PH0XR178SBY,126,104,38738.82,Kyle Chen,4695560876,daniellemoore@example.org,011 Beard Passage,Clarkville,Idaho,Kazakhstan,37576,Kristen Wade,Store B,Nissan,address,2017,Blue
54,09/10/2024,STT2SRBU72ULNJ7GH,18,149,29312.96,James Payne,001-594-547-1697x06469,smiller@example.com,93521 Lozano Summit,Aaronmouth,Montana,Lebanon,20406,Patricia Moore,Store D,Nissan,memory,2018,Blue
55,21/02/2024,NJT7SD4W7PUAY70HC,136,28,15175.43,Anthony Krause,345.437.4226x67061,harrisdeborah@example.com,9707 Scott Lakes,Port Angela,Connecticut,Bahrain,65567,Rodney Shannon,Store C,Ford,political,2020,Green
56,18/11/2024,X5NUFNY6X3K4YS4Z0,46,32,43705.07,Cristina Peterson,+1-498-274-2195x8608,kwagner@example.com,314 Katherine Shoals Suite 232,East Ronnie,Louisiana,Wallis and Futuna,62703,John Sparks,Store B,Toyota,late,2020,Black
57,25/05/2024,JM3ECV5M68FN57K88,119,2,23645.65,David Coffey,783-750-0038,roberta02@example.org,22835 Jon Expressway Apt. 693,Michaelville,South Dakota,Jordan,75547,Louis Hopkins,Store A,Toyota,answer,2016,Black
58,27/04/2024,5NYE1AD5901HX6S6U,151,27,35454.55,Angela Smith,(903)478-4310x3011,anna43@example.com,896 Elizabeth Mills,Davidport,South Dakota,Belarus,74017,Michael George,Store A,Ford,middle,2017,White
59,07/10/2024,FXRH5C2L40C5FN84B,93,6,43450.72,Alexandra Vaughan,+1-320-229-2804x28836,carneysandra@example.com,58863 Robert Hills,North Nancymouth,Virginia,Czech Republic,43307,Erika Griffith,Store A,Nissan,weight,2017,Blue
60,09/05/2024,D6TG4HP07LGMM1HWV,10,89,31616.86,Antonio Frazier,+1-403-572-1725x187,lauren52@example.net,4984 Robert Spring,Shannonville,Texas,Turkey,99174,Hayley Howe,Store D,Ford,finish,2018,Black
61,03/08/2024,ZTRU6Z9M0H5ZJ6AMX,134,40,46526.39,John Velasquez,659.787.5918x4953,dmcintosh@example.com,646 Wells Circles Suite 467,Makaylahaven,Maine,Slovenia,32374,Todd Wilson,Store D,Ford,blood,2018,Green
62,30/11/2024,JM3ECV5M68FN57K88,100,112,27259.51,Nicole Washington,+1-244-780-1982x766,qbell@example.com,154 Kelly River Suite 015,East Matthew,Utah,Eritrea,85914,Jonathan Casey,Store A,Toyota,answer,2016,Black
63,03/07/2024,E3JHE50K2UBKJ8U6J,114,17,21607.52,Cynthia Davidson,5316766491,bethmorton@example.org,02283 Lisa Avenue,Kelseystad,Kansas,Dominica,26590,Jessica Bell,Store D,Honda,total,2015,Blue
64,27/02/2024,RMVYE4ZY7KR4JKKY7,11,32,47747.1,Michael Miller,850.564.2352x2597,michaelaortega@example.net,924 Wallace Turnpike,Reginamouth,Nevada,Jordan,21114,John Sparks,Store B,Chevrolet,far,2021,Black
65,27/11/2024,HWRE2LH576816PJ40,57,86,42265.39,Janet Suarez,001-224-278-7037x73875,alanperez@example.com,740 Fields Ramp,Crystalfort,Colorado,Lithuania,99084,Kenneth Garcia MD,Store D,Ford,rule,2017,Green
66,06/11/2024,G6U1EHWN08EBD2HRE,25,33,39627.24,Angel Crawford,001-492-419-2445,daniel07@example.com,83979 Ryan Manors,Brownchester,Washington,Slovenia,92401,Abigail Lee,Store A,Toyota,teacher,2017,Red
67,23/04/2024,RZVDD4R193H3Y008J,50,84,25710.8,Debra Silva,415.509.3474x40298,nicholasblackburn@example.net,32094 Gonzales Ville Suite 573,West Maria,Minnesota,Indonesia,32611,Robert Weiss,Store A,Chevrolet,them,2015,Blue
68,10/06/2024,22X7JHUR7A1SU3CU5,45,99,41527.83,Eugene Bradley,931.793.0953,ortegalisa@example.org,9174 Robert View,Jonathanville,Kansas,Madagascar,86834,Matthew Lee,Store B,Toyota,check,2023,Red
69,09/10/2024,H44G2J0373XXFBV6T,23,83,44454.52,Edward Guerrero,283.712.6590x71449,brianmorgan@example.net,15014 Jennifer Locks Suite 980,New Christopherhaven,New Mexico,Senegal,22651,Kristen Hogan,Store C,Toyota,to,2021,White
70,15/06/2024,TZFDZNFL57R0U2CMY,38,110,43035.96,Paula Lee,718-410-4154x473,vharris@example.org,7254 Kevin Pass,Port James,Tennessee,Trinidad and Tobago,65503,Amy Miller,Store C,Nissan,be,2021,Green
71,14/12/2024,JM3ECV5M68FN57K88,141,8,28985.91,Alex Jones,+1-330-286-4239x3922,monique93@example.org,246 Hays Station,Ethanview,New York,Ireland,94120,Joe Stephens,Store A,Toyota,answer,2016,Black
72,04/11/2024,FBUJF69U9NM3MTFRB,78,31,34610.45,Robin Reid,001-707-577-2643x6517,anthonygardner@example.com,82383 Christopher Forges,Hillshire,Oregon,Tanzania,3621,Kyle Jones Jr.,Store C,Chevrolet,exist,2021,White
73,20/11/2024,AYV96XAPXBYRA2GL9,12,88,21328.7,Lindsay Chen,001-851-703-1828x1152,gibbsashlee@example.org,28215 Williams Wells Apt. 412,Millsmouth,Nebraska,Christmas Island,85545,Teresa Hall,Store C,Nissan,field,2017,Red
74,30/01/2024,STT2SRBU72ULNJ7GH,46,97,38662.05,Cristina Peterson,+1-498-274-2195x8608,kwagner@example.com,314 Katherine Shoals Suite 232,East Ronnie,Louisiana,Wallis and Futuna,62703,Paul Walters,Store B,Nissan,memory,2018,Blue
75,19/10/2024,1A9DML9R6RDSJT3NH,42,121,42595.52,Leonard Smith,001-771-465-2366x7571,wrodriguez@example.org,04801 Ryan Bypass Suite 575,New Joyborough,Indiana,Djibouti,74714,Sarah Conner,Store C,Ford,stock,2019,Green
76,05/03/2024,E3JHE50K2UBKJ8U6J,34,43,43493.69,Jennifer Zuniga,664-697-8890,lindasullivan@example.net,43444 Traci Circles Suite 752,Welchburgh,South Dakota,Switzerland,1536,Sara Sparks,Store B,Honda,total,2015,Blue
77,04/08/2024,67X4L8MN8DMSJ5SAH,120,19,43136.2,Joshua Yu,278-218-9050x079,chull@example.net,961 Johnson Terrace,Brandonberg,Pennsylvania,Latvia,46056,Kristen Chen,Store B,Nissan,foot,2021,Red
78,17/10/2024,AK3N68ME359UKN4KA,152,6,21584.54,Dakota Jackson,(777)488-6582,maria27@example.org,669 Singh Trafficway,West Lori,Michigan,Angola,63498,Erika Griffith,Store A,Honda,create,2015,Black
79,25/06/2024,0Y0K9M5E2F7712MXF,2,51,41511.58,Miguel Hernandez,(435)713-0920,taylor75@example.com,6710 Aguilar Stream Suite 334,North Amber,Indiana,Brunei Darussalam,96138,Robin Davis,Store D,Toyota,themselves,2022,Blue
80,08/03/2024,J4EHU0MN092CWV0TL,10,9,23163.7,Antonio Frazier,+1-403-572-1725x187,lauren52@example.net,4984 Robert Spring,Shannonville,Texas,Turkey,99174,Angela Banks,Store A,Toyota,rich,2018,Green
81,21/09/2024,J0EHMWEF2LGJH2G7U,13,88,48024.44,Heather Stein,+1-404-403-8912x1956,sierrahall@example.com,58686 Collins Camp Apt. 425,East Alexanderland,Michigan,Serbia,32837,Teresa Hall,Store C,Honda,use,2023,Red
82,20/11/2024,HSUD3MZ67XU41MDLH,151,18,22235.13,Angela Smith,(903)478-4310x3011,anna43@example.com,896 Elizabeth Mills,Davidport,South Dakota,Belarus,74017,Robert Duran,Store D,Nissan,boy,2015,Blue
83,02/04/2024,TWBLXBG91HY9MYCT7,113,109,28610.93,Matthew Brown,644-945-2907x38046,potterbrian@example.com,001 Willis Oval Suite 961,Port Heidi,Wisconsin,Trinidad and Tobago,3317,Craig Warren,Store D,Toyota,shoulder,2015,Red
84,04/05/2024,05UTLET05CB2EF4PU,86,99,42602.73,John Griffin,-9245,deangutierrez@example.net,051 Patterson Plaza,New Briannaton,Rhode Island,Kenya,54927,Matthew Lee,Store B,Toyota,issue,2023,White
85,17/10/2024,8JFVK6NGXD6EGEBXM,36,84,15287,Andrew Dawson,(829)683-2062x6485,jose54@example.net,3795 Ronnie Inlet Apt. 101,Danielborough,Washington,France,11144,Robert Weiss,Store A,Nissan,information,2019,Green
86,07/07/2024,6VD47PK759DD4M9G4,82,48,41710.9,Roberto Smith,(990)271-1990x4894,mhenry@example.org,398 Daniel Turnpike Suite 839,East Lauramouth,Pennsylvania,Czech Republic,51487,Chloe Lopez,Store D,Nissan,final,2022,Black
87,24/12/2024,S86717B22RL2TY7XJ,146,59,31306.61,Michelle Thomas,(233)828-1897x67583,alexanderhenson@example.net,30811 Lawson Burg,Oconnorton,Louisiana,Armenia,7592,Barry Lopez,Store A,Ford,trip,2022,Blue
88,28/11/2024,NZ85HM4N4RKNAZBWF,74,4,22169.34,Andrew Sharp,4645747547,gonzalezcrystal@example.com,8560 Owens Garden,East Megan,Montana,Andorra,2922,Kayla Woodward,Store C,Nissan,own,2022,Green
89,03/10/2024,CD942X5420TCHSLPA,80,123,46912.88,Pamela Daniels,882.233.9074,pkhan@example.com,470 Caitlin Views Apt. 424,New Vickiefort,South Dakota,Heard Island and McDonald Islands,93160,Michael Smith,Store D,Toyota,inside,2017,White
90,07/01/2025,1B87XKZP80LW4BYKC,85,43,20336.97,Stephanie Oliver,445.666.3857x452,cwells@example.com,671 Peterson Island Suite 623,Stokesview,Montana,Hong Kong,9445,Sara Sparks,Store B,Chevrolet,news,2017,Green
91,21/09/2024,TWBLXBG91HY9MYCT7,82,33,16349.22,Roberto Smith,(990)271-1990x4894,mhenry@example.org,398 Daniel Turnpike Suite 839,East Lauramouth,Pennsylvania,Czech Republic,51487,Abigail Lee,Store A,Toyota,shoulder,2015,Red
92,13/05/2024,M84KK5RN5VFZKF829,48,23,23825.21,Kathryn Maxwell,+1-281-894-1861x8929,andersonvanessa@example.com,01438 George Mills,East Lorettaborough,Maryland,Faroe Islands,861,Kyle Butler,Store A,Ford,including,2015,Green
93,13/02/2024,GTC70ZAD3DTNCHVMS,35,99,43083.2,Sheri Larson,363-405-3769x4803,macdonaldchelsea@example.org,53839 Raymond Streets Apt. 242,East Thomasmouth,Arizona,Saudi Arabia,5990,Matthew Lee,Store B,Honda,nice,2022,White
94,01/06/2024,2A3FDHKH6X40YZJZV,12,140,34815.48,Lindsay Chen,001-851-703-1828x1152,gibbsashlee@example.org,28215 Williams Wells Apt. 412,Millsmouth,Nebraska,Christmas Island,85545,Courtney Schneider,Store B,Chevrolet,child,2017,Red
95,28/09/2024,FCFTNP2XX57M3YXGW,46,155,33887.77,Cristina Peterson,+1-498-274-2195x8608,kwagner@example.com,314 Katherine Shoals Suite 232,East Ronnie,Louisiana,Wallis and Futuna,62703,Jeffrey Flores,Store B,Honda,south,2018,White
96,17/12/2024,B1NZ1MT20B9JKD0F5,136,153,16726.66,Anthony Krause,345.437.4226x67061,harrisdeborah@example.com,9707 Scott Lakes,Port Angela,Connecticut,Bahrain,65567,John Young,Store B,Nissan,tell,2018,Red
97,24/07/2024,9M45D84Z0NGDKUGHT,78,107,28697.52,Robin Reid,001-707-577-2643x6517,anthonygardner@example.com,82383 Christopher Forges,Hillshire,Oregon,Tanzania,3621,Keith Martinez,Store D,Toyota,easy,2023,Green
98,10/06/2024,L0F1UHC1XBVKCRC65,120,47,33029.51,Joshua Yu,278-218-9050x079,chull@example.net,961 Johnson Terrace,Brandonberg,Pennsylvania,Latvia,46056,Mrs. Janice Bowman,Store D,Ford,meet,2022,Black
99,30/08/2024,B1NZ1MT20B9JKD0F5,65,24,39108.8,Mathew Simmons,(314)983-9950,patriciabutler@example.com,8063 Robinson Spurs Suite 156,Charlesport,South Carolina,Luxembourg,74688,Douglas Rodriguez,Store B,Nissan,tell,2018,Red
100,04/06/2024,BW860LEE6A46P5FND,100,38,34488.48,Nicole Washington,+1-244-780-1982x766,qbell@example.com,154 Kelly River Suite 015,East Matthew,Utah,Eritrea,85914,Gina Swanson,Store D,Chevrolet,capital,2020,White
101,01/05/2024,3PD59D7M273ATYTX0,49,138,46735.39,Patricia Brown,(710)739-6311x639,huntmichelle@example.com,437 Amy Cliffs Suite 315,Lake Michael,Rhode Island,Netherlands Antilles,6714,Peter Turner,Store A,Chevrolet,do,2021,White
102,25/05/2024,TLK8ZS0D5P2B47S1B,75,145,34366.39,Samantha Nielsen,851.516.1230,joanbennett@example.net,09099 Joshua Terrace,Crawfordton,South Carolina,Argentina,4105,Adrienne Lewis,Store D,Ford,provide,2022,Blue
103,25/01/2024,AYV96XAPXBYRA2GL9,26,61,19649.8,Aimee Ibarra,(479)909-8867,kenneth10@example.org,820 Lucas Ridges,West Sarahburgh,Texas,Montserrat,60217,Tyler Johnson,Store C,Nissan,field,2017,Red
104,06/10/2024,05UTLET05CB2EF4PU,96,129,44510.24,Chad Campos,+1-563-328-7326x47173,weavermichael@example.org,37757 Evan Coves Apt. 269,Anthonyview,Wisconsin,New Zealand,39863,Paula Sherman,Store A,Toyota,issue,2023,White
105,20/09/2024,ABZG1C9A0Y9ZC2M9N,145,97,34935.44,Joshua Valdez,001-386-203-7007x005,shannonmargaret@example.org,536 Rosales Manors,Cartermouth,Wisconsin,Finland,61615,Paul Walters,Store B,Chevrolet,matter,2023,Black
106,09/04/2024,5DJN2Z759YJLCL0YY,32,111,25317.49,Ariel Baker,-3372,juanespinoza@example.org,2677 Taylor Plaza,Patriciastad,Idaho,Togo,918,John Jimenez,Store A,Toyota,ten,2017,Blue
107,01/04/2024,0L956MAT5336MEKGZ,89,52,47056.9,Jacqueline Roberson,001-399-871-4482x5284,sgeorge@example.net,09594 Donald Knoll,Port Heatherchester,Indiana,Singapore,74293,Christina Oliver,Store B,Ford,team,2015,Black
108,28/05/2024,2HMBTGGW0MKPX0R0K,20,139,44223.38,Sarah Stokes,(672)731-0883x30285,perkinsjames@example.net,808 Alexander Path Apt. 487,Alexandrachester,Oregon,Singapore,5684,Jennifer Bryant,Store D,Honda,total,2019,Red
109,06/05/2024,PF2AHHDZ2ZGGRTC7C,90,129,38450.33,Jordan Walker,682-202-3670,hartaustin@example.com,44361 Elizabeth Circles Suite 584,Port Timothy,Iowa,Bahamas,30572,Paula Sherman,Store A,Toyota,cut,2017,Green
110,31/08/2024,HUHDVG0G70CPYWX0M,139,8,47476.78,Diamond Smith,(556)310-0936,foxmark@example.org,932 Jennifer Place Suite 363,Belindaton,Nebraska,Panama,23284,Joe Stephens,Store A,Nissan,seven,2016,Black
111,24/11/2024,FXRH5C2L40C5FN84B,119,157,25998.85,David Coffey,783-750-0038,roberta02@example.org,22835 Jon Expressway Apt. 693,Michaelville,South Dakota,Jordan,75547,Scott Keller,Store B,Nissan,weight,2017,Blue
112,12/04/2024,XE2CZM3A51DJJ55SK,5,73,44410.06,Corey Campbell,(436)413-9387x8485,wendy96@example.org,6829 Kyle Flat,South Michaelport,Kansas,Tonga,79742,Alfred Evans,Store B,Chevrolet,item,2015,Black
